[DEBUG] using NB=2048 (autotune=0)

[DEBUG] --- ENTERING makeMixedPrecisionTiledArray ---
[DEBUG] nb used: 2048, nt: 16

[DEBUG] Epsilon Ratio for Tile (0, 0): 3.80079
[DEBUG] Source Epsilon / FP32 Epsilon: 0.0838861
[DEBUG] Low format cutoff (mx_e4m3): 1.59994e-07 (scale-aware=1)
[TILE_TARGET] (0, 0) fp64
[TILE_DTYPE] (0, 0) fp64
[BOUND_SELECT] tile(1,0) fp32_bucket=fp32 fp16_bucket=fp16 low_bucket=mx_e4m3 low_bound=mx_e4m3 ladder=full low_order=e4m3_first ranking=legacy mode=tile subtile=0
[BOUND_EVAL] tile(1,0) fmt=e2m1 fits=0 overflow=0 uses_scale=1 u=0.25 fmin=1 fmax=6 gmin=0.25 tol=6.68075e-07 nrmE=12.1629 nrmF=29.6848 nrmE+nrmF=41.8477 underflows=4193143 scale_groups=1 s_min=2 s_avg=2 s_max=2
[BOUND_EVAL] tile(1,0) fmt=mx_e4m3 fits=0 overflow=0 uses_scale=1 u=0.0625 fmin=0.015625 fmax=448 gmin=0.000976562 tol=6.68075e-07 nrmE=3.04073 nrmF=0.465402 nrmE+nrmF=3.50613 underflows=3886575 scale_groups=1 s_min=2 s_avg=2 s_max=2
[BOUND_EVAL] tile(1,0) fmt=mx_fp16 fits=0 overflow=0 uses_scale=1 u=0.000976562 fmin=6.10352e-05 fmax=65504 gmin=5.96046e-08 tol=6.68075e-07 nrmE=0.0475114 nrmF=4.16399e-05 nrmE+nrmF=0.047553 underflows=2017632 scale_groups=1 s_min=2 s_avg=2 s_max=2
[BOUND_EVAL] tile(1,0) fmt=fp32 fits=0 overflow=0 uses_scale=0 u=1.19209e-07 fmin=1.17549e-38 fmax=3.40282e+38 gmin=1.4013e-45 tol=6.68075e-07 nrmE=5.79973e-06 nrmF=0 nrmE+nrmF=5.79973e-06 underflows=0 scale_groups=0 s_min=1 s_avg=1 s_max=1
[TILE_TARGET] (1, 0) fp64
[BOUND_DECISION] tile(1,0) selected=fp64 reason=ladder_reject_all step=-1 fp32_fit=0 fp16_fit=0 low_fit=0 fp32_overflow=0 fp16_overflow=0 low_overflow=0
[TILE_DTYPE] (1, 0) fp64

[DEBUG] Epsilon Ratio for Tile (1, 1): 3.79117
[DEBUG] Source Epsilon / FP32 Epsilon: 0.0838861
[DEBUG] Low format cutoff (mx_e4m3): 1.59994e-07 (scale-aware=1)
[TILE_TARGET] (1, 1) fp64
[TILE_DTYPE] (1, 1) fp64
[BOUND_SELECT] tile(2,0) fp32_bucket=fp32 fp16_bucket=fp16 low_bucket=mx_e4m3 low_bound=mx_e4m3 ladder=full low_order=e4m3_first ranking=legacy mode=tile subtile=0
[BOUND_EVAL] tile(2,0) fmt=e2m1 fits=0 overflow=0 uses_scale=1 u=0.25 fmin=1 fmax=6 gmin=0.25 tol=6.68075e-07 nrmE=11.5158 nrmF=28.721 nrmE+nrmF=40.2368 underflows=4193339 scale_groups=1 s_min=2 s_avg=2 s_max=2
[BOUND_EVAL] tile(2,0) fmt=mx_e4m3 fits=0 overflow=0 uses_scale=1 u=0.0625 fmin=0.015625 fmax=448 gmin=0.000976562 tol=6.68075e-07 nrmE=2.87896 nrmF=0.461041 nrmE+nrmF=3.34 underflows=3898141 scale_groups=1 s_min=2 s_avg=2 s_max=2
[BOUND_EVAL] tile(2,0) fmt=mx_fp16 fits=0 overflow=0 uses_scale=1 u=0.000976562 fmin=6.10352e-05 fmax=65504 gmin=5.96046e-08 tol=6.68075e-07 nrmE=0.0449838 nrmF=4.19698e-05 nrmE+nrmF=0.0450257 underflows=2052778 scale_groups=1 s_min=2 s_avg=2 s_max=2
[BOUND_EVAL] tile(2,0) fmt=fp32 fits=0 overflow=0 uses_scale=0 u=1.19209e-07 fmin=1.17549e-38 fmax=3.40282e+38 gmin=1.4013e-45 tol=6.68075e-07 nrmE=5.49118e-06 nrmF=0 nrmE+nrmF=5.49118e-06 underflows=0 scale_groups=0 s_min=1 s_avg=1 s_max=1
[TILE_TARGET] (2, 0) fp64
[BOUND_DECISION] tile(2,0) selected=fp64 reason=ladder_reject_all step=-1 fp32_fit=0 fp16_fit=0 low_fit=0 fp32_overflow=0 fp16_overflow=0 low_overflow=0
[TILE_DTYPE] (2, 0) fp64
[BOUND_SELECT] tile(2,1) fp32_bucket=fp32 fp16_bucket=fp16 low_bucket=mx_e4m3 low_bound=mx_e4m3 ladder=full low_order=e4m3_first ranking=legacy mode=tile subtile=0
[BOUND_EVAL] tile(2,1) fmt=e2m1 fits=0 overflow=0 uses_scale=1 u=0.25 fmin=1 fmax=6 gmin=0.25 tol=6.68075e-07 nrmE=6.39382 nrmF=14.151 nrmE+nrmF=20.5448 underflows=4193906 scale_groups=1 s_min=2 s_avg=2 s_max=2
[BOUND_EVAL] tile(2,1) fmt=mx_e4m3 fits=0 overflow=0 uses_scale=1 u=0.0625 fmin=0.015625 fmax=448 gmin=0.000976562 tol=6.68075e-07 nrmE=1.59846 nrmF=0.270565 nrmE+nrmF=1.86902 underflows=4127019 scale_groups=1 s_min=2 s_avg=2 s_max=2
[BOUND_EVAL] tile(2,1) fmt=mx_fp16 fits=0 overflow=0 uses_scale=1 u=0.000976562 fmin=6.10352e-05 fmax=65504 gmin=5.96046e-08 tol=6.68075e-07 nrmE=0.0249759 nrmF=4.84202e-05 nrmE+nrmF=0.0250243 underflows=3327510 scale_groups=1 s_min=2 s_avg=2 s_max=2
[BOUND_EVAL] tile(2,1) fmt=fp32 fits=0 overflow=0 uses_scale=0 u=1.19209e-07 fmin=1.17549e-38 fmax=3.40282e+38 gmin=1.4013e-45 tol=6.68075e-07 nrmE=3.04881e-06 nrmF=0 nrmE+nrmF=3.04881e-06 underflows=0 scale_groups=0 s_min=1 s_avg=1 s_max=1
[TILE_TARGET] (2, 1) fp64
[BOUND_DECISION] tile(2,1) selected=fp64 reason=ladder_reject_all step=-1 fp32_fit=0 fp16_fit=0 low_fit=0 fp32_overflow=0 fp16_overflow=0 low_overflow=0
[TILE_DTYPE] (2, 1) fp64

[DEBUG] Epsilon Ratio for Tile (2, 2): 3.77355
[DEBUG] Source Epsilon / FP32 Epsilon: 0.0838861
[DEBUG] Low format cutoff (mx_e4m3): 1.59994e-07 (scale-aware=1)
[TILE_TARGET] (2, 2) fp64
[TILE_DTYPE] (2, 2) fp64
[BOUND_SELECT] tile(3,0) fp32_bucket=fp32 fp16_bucket=fp16 low_bucket=mx_e4m3 low_bound=mx_e4m3 ladder=full low_order=e4m3_first ranking=legacy mode=tile subtile=0
[BOUND_EVAL] tile(3,0) fmt=e2m1 fits=0 overflow=0 uses_scale=1 u=0.25 fmin=1 fmax=6 gmin=0.25 tol=6.68075e-07 nrmE=1.61261 nrmF=4.93402 nrmE+nrmF=6.54663 underflows=4194286 scale_groups=1 s_min=4 s_avg=4 s_max=4
[BOUND_EVAL] tile(3,0) fmt=mx_e4m3 fits=0 overflow=0 uses_scale=1 u=0.0625 fmin=0.015625 fmax=448 gmin=0.000976562 tol=6.68075e-07 nrmE=0.403153 nrmF=0.13959 nrmE+nrmF=0.542743 underflows=4140970 scale_groups=1 s_min=4 s_avg=4 s_max=4
[BOUND_EVAL] tile(3,0) fmt=mx_fp16 fits=0 overflow=0 uses_scale=1 u=0.000976562 fmin=6.10352e-05 fmax=65504 gmin=5.96046e-08 tol=6.68075e-07 nrmE=0.00629926 nrmF=2.49334e-05 nrmE+nrmF=0.00632419 underflows=3239950 scale_groups=1 s_min=4 s_avg=4 s_max=4
[BOUND_EVAL] tile(3,0) fmt=fp32 fits=0 overflow=0 uses_scale=0 u=1.19209e-07 fmin=1.17549e-38 fmax=3.40282e+38 gmin=1.4013e-45 tol=6.68075e-07 nrmE=7.68952e-07 nrmF=0 nrmE+nrmF=7.68952e-07 underflows=0 scale_groups=0 s_min=1 s_avg=1 s_max=1
[TILE_TARGET] (3, 0) fp64
[BOUND_DECISION] tile(3,0) selected=fp64 reason=ladder_reject_all step=-1 fp32_fit=0 fp16_fit=0 low_fit=0 fp32_overflow=0 fp16_overflow=0 low_overflow=0
[TILE_DTYPE] (3, 0) fp64
[BOUND_SELECT] tile(3,1) fp32_bucket=fp32 fp16_bucket=fp16 low_bucket=mx_e4m3 low_bound=mx_e4m3 ladder=full low_order=e4m3_first ranking=legacy mode=tile subtile=0
[BOUND_EVAL] tile(3,1) fmt=e2m1 fits=0 overflow=0 uses_scale=1 u=0.25 fmin=1 fmax=6 gmin=0.25 tol=6.68075e-07 nrmE=11.3316 nrmF=28.5787 nrmE+nrmF=39.9104 underflows=4193412 scale_groups=1 s_min=2 s_avg=2 s_max=2
[BOUND_EVAL] tile(3,1) fmt=mx_e4m3 fits=0 overflow=0 uses_scale=1 u=0.0625 fmin=0.015625 fmax=448 gmin=0.000976562 tol=6.68075e-07 nrmE=2.83291 nrmF=0.460959 nrmE+nrmF=3.29387 underflows=3898763 scale_groups=1 s_min=2 s_avg=2 s_max=2
[BOUND_EVAL] tile(3,1) fmt=mx_fp16 fits=0 overflow=0 uses_scale=1 u=0.000976562 fmin=6.10352e-05 fmax=65504 gmin=5.96046e-08 tol=6.68075e-07 nrmE=0.0442642 nrmF=4.18514e-05 nrmE+nrmF=0.0443061 underflows=2055815 scale_groups=1 s_min=2 s_avg=2 s_max=2
[BOUND_EVAL] tile(3,1) fmt=fp32 fits=0 overflow=0 uses_scale=0 u=1.19209e-07 fmin=1.17549e-38 fmax=3.40282e+38 gmin=1.4013e-45 tol=6.68075e-07 nrmE=5.40335e-06 nrmF=0 nrmE+nrmF=5.40335e-06 underflows=0 scale_groups=0 s_min=1 s_avg=1 s_max=1
[TILE_TARGET] (3, 1) fp64
[BOUND_DECISION] tile(3,1) selected=fp64 reason=ladder_reject_all step=-1 fp32_fit=0 fp16_fit=0 low_fit=0 fp32_overflow=0 fp16_overflow=0 low_overflow=0
[TILE_DTYPE] (3, 1) fp64
[BOUND_SELECT] tile(3,2) fp32_bucket=fp32 fp16_bucket=fp16 low_bucket=mx_e4m3 low_bound=mx_e4m3 ladder=full low_order=e4m3_first ranking=legacy mode=tile subtile=0
[BOUND_EVAL] tile(3,2) fmt=e2m1 fits=0 overflow=0 uses_scale=1 u=0.25 fmin=1 fmax=6 gmin=0.25 tol=6.68075e-07 nrmE=13.5728 nrmF=32.3092 nrmE+nrmF=45.8819 underflows=4192826 scale_groups=1 s_min=2 s_avg=2 s_max=2
[BOUND_EVAL] tile(3,2) fmt=mx_e4m3 fits=0 overflow=0 uses_scale=1 u=0.0625 fmin=0.015625 fmax=448 gmin=0.000976562 tol=6.68075e-07 nrmE=3.39319 nrmF=0.476924 nrmE+nrmF=3.87011 underflows=3854049 scale_groups=1 s_min=2 s_avg=2 s_max=2
[BOUND_EVAL] tile(3,2) fmt=mx_fp16 fits=0 overflow=0 uses_scale=1 u=0.000976562 fmin=6.10352e-05 fmax=65504 gmin=5.96046e-08 tol=6.68075e-07 nrmE=0.0530186 nrmF=4.07823e-05 nrmE+nrmF=0.0530594 underflows=1929055 scale_groups=1 s_min=2 s_avg=2 s_max=2
[BOUND_EVAL] tile(3,2) fmt=fp32 fits=0 overflow=0 uses_scale=0 u=1.19209e-07 fmin=1.17549e-38 fmax=3.40282e+38 gmin=1.4013e-45 tol=6.68075e-07 nrmE=6.472e-06 nrmF=0 nrmE+nrmF=6.472e-06 underflows=0 scale_groups=0 s_min=1 s_avg=1 s_max=1
[TILE_TARGET] (3, 2) fp64
[BOUND_DECISION] tile(3,2) selected=fp64 reason=ladder_reject_all step=-1 fp32_fit=0 fp16_fit=0 low_fit=0 fp32_overflow=0 fp16_overflow=0 low_overflow=0
[TILE_DTYPE] (3, 2) fp64

[DEBUG] Epsilon Ratio for Tile (3, 3): 3.77765
[DEBUG] Source Epsilon / FP32 Epsilon: 0.0838861
[DEBUG] Low format cutoff (mx_e4m3): 1.59994e-07 (scale-aware=1)
[TILE_TARGET] (3, 3) fp64
[TILE_DTYPE] (3, 3) fp64
[BOUND_SELECT] tile(4,0) fp32_bucket=fp32 fp16_bucket=fp16 low_bucket=mx_e4m3 low_bound=mx_e4m3 ladder=full low_order=e4m3_first ranking=legacy mode=tile subtile=0
[BOUND_EVAL] tile(4,0) fmt=e2m1 fits=0 overflow=0 uses_scale=1 u=0.25 fmin=1 fmax=6 gmin=0.25 tol=6.68075e-07 nrmE=0.00136166 nrmF=0.00382788 nrmE+nrmF=0.00518953 underflows=4194155 scale_groups=1 s_min=16384 s_avg=16384 s_max=16384
[BOUND_EVAL] tile(4,0) fmt=mx_e4m3 fits=0 overflow=0 uses_scale=1 u=0.0625 fmin=0.015625 fmax=448 gmin=0.000976562 tol=6.68075e-07 nrmE=0.000340414 nrmF=5.65913e-05 nrmE+nrmF=0.000397005 underflows=3854766 scale_groups=1 s_min=16384 s_avg=16384 s_max=16384
[BOUND_EVAL] tile(4,0) fmt=mx_fp16 fits=0 overflow=0 uses_scale=1 u=0.000976562 fmin=6.10352e-05 fmax=65504 gmin=5.96046e-08 tol=6.68075e-07 nrmE=5.31897e-06 nrmF=5.0825e-09 nrmE+nrmF=5.32405e-06 underflows=2028962 scale_groups=1 s_min=16384 s_avg=16384 s_max=16384
[BOUND_EVAL] tile(4,0) fmt=fp32 fits=1 overflow=0 uses_scale=0 u=1.19209e-07 fmin=1.17549e-38 fmax=3.40282e+38 gmin=1.4013e-45 tol=6.68075e-07 nrmE=6.49288e-10 nrmF=0 nrmE+nrmF=6.49288e-10 underflows=0 scale_groups=0 s_min=1 s_avg=1 s_max=1
[TILE_TARGET] (4, 0) fp32
[BOUND_DECISION] tile(4,0) selected=fp32 reason=ladder_accept step=3 fp32_fit=1 fp16_fit=0 low_fit=0 fp32_overflow=0 fp16_overflow=0 low_overflow=0
[TILE_DTYPE] (4, 0) fp32
